constituency,state,lat,lng,status
AMBEDKAR NAGAR,Uttar Pradesh,26.445,82.61,dict
KHANDWA,Madhya Pradesh,21.8266,76.351,dict
KANNIYAKUMARI,Tamil Nadu,8.0883,77.5385,dict
JHARGRAM(ST),West Bengal,22.4475,86.993,dict
FIROZABAD,Uttar Pradesh,27.1591,78.3958,dict
BHARATPUR(SC),Rajasthan,27.2152,77.493,dict
NANDURBAR(ST),Maharashtra,21.37,74.24,dict
TIRUPATI(SC),Andhra Pradesh,13.6288,79.4192,dict
AMRAVATI(SC),Maharashtra,20.932,77.7523,dict
DURG,Chhattisgarh,21.1904,81.2849,dict
GIRIDIH,Jharkhand,24.1853,86.3046,dict
KACHCHH(SC),Gujarat,23.7337,69.8597,dict
ANANDPUR SAHIB,Punjab,31.238,76.495,dict
SIKKIM,Sikkim,27.533,88.5122,dict
MAVELIKKARA(SC),Kerala,9.2647,76.5513,dict
BANGALORE SOUTH,Karnataka,12.91,77.58,dict
HOOGHLY,West Bengal,22.908,88.3953,dict
NAGPUR,Maharashtra,21.1458,79.0882,dict
HARDOI (SC),Uttar Pradesh,27.3953,80.131,dict
MATHURAPUR(SC),West Bengal,22.1,88.4,dict
GUWAHATI,Assam,26.1445,91.7362,dict
KHUNTI(ST),Jharkhand,23.0712,85.2775,dict
SIWAN,Bihar,26.2209,84.3576,dict
AGRA(SC),Uttar Pradesh,27.1767,78.0081,dict
ELURU,Andhra Pradesh,16.7107,81.0952,dict
BARDOLI(ST),Gujarat,21.121,73.1133,dict
DEORIA,Uttar Pradesh,26.5025,83.7753,dict
KRISHNANAGAR,West Bengal,23.4,88.5,dict
ARANI,Tamil Nadu,12.6695,79.28,dict
UNNAO,Uttar Pradesh,26.5478,80.492,dict
Diphu (ST),Assam,25.8442,93.4293,dict
FATEHPUR SIKRI,Uttar Pradesh,27.094,77.66,dict
JHANSI,Uttar Pradesh,25.4484,78.5685,dict
DIAMOND HARBOUR,West Bengal,22.19,88.19,dict
SOLAPUR(SC),Maharashtra,17.6599,75.9064,dict
PATNA SAHIB,Bihar,25.6097,85.1376,dict
SHIRUR,Maharashtra,18.8267,74.3789,dict
KOTA,Rajasthan,25.2138,75.8648,dict
MANDSOUR,Madhya Pradesh,24.0734,75.0685,dict
HAMIRPUR_UP,Uttar Pradesh,25.75,80.0,nominatim
BANDA,Uttar Pradesh,25.48,80.33,dict
BIRBHUM,West Bengal,23.9,87.53,dict
BISHNUPUR(SC),West Bengal,23.0791,87.3191,dict
MANDI,Himachal Pradesh,31.7089,76.9317,dict
ARUNACHAL EAST,Arunachal Pradesh,28.218,95.9304,dict
SARGUJA(ST),Chhattisgarh,23.12,83.1958,dict
NAVSARI,Gujarat,20.9467,72.952,dict
TIRUPPUR,Tamil Nadu,11.1085,77.3411,dict
RAJGARH,Madhya Pradesh,23.7683,76.7154,dict
ARAMBAG(SC),West Bengal,,,failed
AMALAPURAM(SC),Andhra Pradesh,16.5793,82.005,dict
ROBERTSGANJ(SC),Uttar Pradesh,24.689,83.066,dict
NIZAMABAD,Telangana,18.6725,78.094,dict
OSMANABAD,Maharashtra,18.1863,76.0395,dict
BHATINDA,Punjab,30.206791,74.94637,nominatim
SAGAR,Madhya Pradesh,23.8388,78.7378,dict
ALAPPUZHA,Kerala,9.4981,76.3388,dict
ULUBERIA,West Bengal,22.4712,88.1034,dict
MUZAFFARNAGAR,Uttar Pradesh,29.4727,77.7085,dict
UDAIPUR(ST),Rajasthan,24.5854,73.7125,dict
DAMOH,Madhya Pradesh,23.8326,79.4427,dict
LAKHIMPUR,Assam,27.236,94.105,dict
SUPAUL,Bihar,26.123,86.5985,dict
DINDIGUL,Tamil Nadu,10.3624,77.9695,dict
SABARKANTHA,Gujarat,23.6,73.0,dict
MAHASAMUND,Chhattisgarh,21.1132,82.0957,dict
RAVER,Maharashtra,21.2468,76.0364,dict
MACHHLISHAHR(SC),Uttar Pradesh,25.81,82.58,dict
AJMER,Rajasthan,26.4499,74.6399,dict
MACHILIPATNAM,Andhra Pradesh,16.1875,81.1298,dict
SUNDARGARH (ST),Odisha,22.119973,84.036993,nominatim
BANGALORE RURAL,Karnataka,13.15,77.4,dict
GOPALGANJ (SC),Bihar,26.4698,84.4341,dict
NAGALAND,Nagaland,26.1584,94.5624,dict
CHITTORGARH,Rajasthan,24.8887,74.6269,dict
JAIPUR,Rajasthan,26.9124,75.7873,dict
NILGIRIS(SC),Tamil Nadu,11.4916,76.7337,dict
BANSWARA(ST),Rajasthan,23.5467,74.4416,dict
SASARAM(SC),Bihar,24.9469,84.029,dict
MEDAK,Telangana,18.0471,78.2671,dict
VILUPPURAM(SC),Tamil Nadu,11.9401,79.4923,dict
KORBA,Chhattisgarh,22.3595,82.7501,dict
THANJAVUR,Tamil Nadu,10.787,79.1378,dict
SIVAGANGA,Tamil Nadu,9.8438,78.4831,dict
DUMKA(ST),Jharkhand,24.2679,87.2436,dict
JALAUN(SC),Uttar Pradesh,25.9182,79.3491,dict
SALEMPUR,Uttar Pradesh,26.3,83.82,dict
AONLA,Uttar Pradesh,28.2488,79.6525,dict
SANGRUR,Punjab,30.24,75.843,dict
BARASAT,West Bengal,22.7218,88.4797,dict
KANPUR,Uttar Pradesh,26.4499,80.3319,dict
NOWGONG,Assam,26.3465,92.6862,dict
HOSHIARPUR(SC),Punjab,31.5143,75.9113,dict
RAJKOT,Gujarat,22.3039,70.8022,dict
BANKA,Bihar,24.8833,86.9205,dict
TAMLUK,West Bengal,22.294,87.924,dict
TIRUVALLUR(SC),Tamil Nadu,13.139422,79.907084,nominatim
PATIALA,Punjab,30.3398,76.3869,dict
KANNUR,Kerala,11.8745,75.3704,dict
NAMAKKAL,Tamil Nadu,11.2195,78.1675,dict
KAISERGANJ,Uttar Pradesh,27.299138,81.563354,nominatim
DHULE,Maharashtra,20.9036,74.7749,dict
KANCHEEPURAM(SC),Tamil Nadu,12.8185,79.6947,dict
MORENA,Madhya Pradesh,26.5,77.97,dict
AHMEDABAD EAST,Gujarat,23.04,72.59,dict
ALATHUR(SC),Kerala,10.5822,76.5577,dict
NAGAUR,Rajasthan,27.203,73.73,dict
RAE BARELI,Uttar Pradesh,26.219,81.233,dict
FAIZABAD,Uttar Pradesh,26.780799,82.148659,nominatim
NAGINA(SC),Uttar Pradesh,29.4434,78.4333,dict
PURNEA,Bihar,25.777331,87.473123,nominatim
SHAHDOL (ST),Madhya Pradesh,23.2964,81.3559,dict
DHUBRI,Assam,26.0177,89.9805,dict
PATAN,Gujarat,23.8495,72.1244,dict
MEERUT,Uttar Pradesh,28.9845,77.7064,dict
TURA,Meghalaya,25.5154,90.2128,dict
BHADOHI,Uttar Pradesh,25.3878,82.5721,dict
KASARAGOD,Kerala,12.4996,74.9869,dict
MIZORAM (ST),Mizoram,23.1645,92.9376,dict
MAVAL,Maharashtra,18.7547,73.5358,dict
AURANGABAD_BR,Bihar,24.75242,84.373291,nominatim
BANGALORE CENTRAL,Karnataka,12.975,77.605,dict
ARAKKONAM,Tamil Nadu,13.0786,79.6699,dict
PERAMBALUR,Tamil Nadu,11.2323,78.8673,dict
MUMBAI NORTH,Maharashtra,19.2288,72.8541,dict
KAUSHAMBI(SC),Uttar Pradesh,25.5398,81.3726,dict
NORTH GOA,Goa,15.4909,73.8278,dict
GUNA,Madhya Pradesh,24.6481,77.3094,dict
IDUKKI,Kerala,9.8488,77.1025,dict
RAJNANDGAON,Chhattisgarh,21.0974,81.0296,dict
AKOLA,Maharashtra,20.7059,77.0074,dict
NARASARAOPET,Andhra Pradesh,16.2343,80.0486,dict
LATUR(SC),Maharashtra,18.4088,76.5604,dict
MALKAJGIRI,Telangana,17.4637,78.5322,dict
RAMPUR,Uttar Pradesh,28.8058,79.0257,dict
KURNOOL,Andhra Pradesh,15.8281,78.0373,dict
MURSHIDABAD,West Bengal,24.1825,88.2718,dict
BIJNOR,Uttar Pradesh,29.3697,78.1347,dict
BARRACKPUR,West Bengal,22.693623,88.403312,nominatim
VAISHALI,Bihar,25.9898,85.3262,dict
KHEDA,Gujarat,22.7166,72.6831,dict
VADODARA,Gujarat,22.3072,73.1812,dict
BANKURA,West Bengal,23.2324,87.0731,dict
MUMBAI NORTH WEST,Maharashtra,19.1419,72.8353,dict
JHUNJHUNU,Rajasthan,28.1325,75.399,dict
BIKANER(SC),Rajasthan,28.0229,73.3119,dict
SITAPUR,Uttar Pradesh,27.5651,80.6832,dict
SIKAR,Rajasthan,27.6094,75.1399,dict
MADHUBANI,Bihar,26.3641,86.0717,dict
SHIMLA (SC),Himachal Pradesh,31.1048,77.1734,dict
BASTAR(ST),Chhattisgarh,19.3,81.7,dict
KOLKATA DAKSHIN,West Bengal,22.518565,88.352614,nominatim
SULTANPUR,Uttar Pradesh,26.2647,82.0735,dict
RANCHI,Jharkhand,23.3441,85.3096,dict
SREERAMPUR,West Bengal,22.703736,88.818188,nominatim
BETUL(ST),Madhya Pradesh,21.9048,77.9023,dict
KISHANGANJ,Bihar,26.096,87.94,dict
EAST DELHI,Delhi,28.6279,77.2784,dict
GHAZIPUR,Uttar Pradesh,25.5746,83.58,dict
MUMBAI SOUTH,Maharashtra,18.9388,72.8353,dict
Puducherry,Puducherry,11.934057,79.830645,nominatim
UJJAIN(SC),Madhya Pradesh,23.1793,75.7849,dict
CHENNAI CENTRAL,Tamil Nadu,13.06,80.25,dict
ANAND,Gujarat,22.5645,72.9289,dict
AMROHA,Uttar Pradesh,28.9052,78.4666,dict
ERODE,Tamil Nadu,11.341,77.7172,dict
JALGAON,Maharashtra,21.0077,75.5626,dict
MADURAI,Tamil Nadu,9.9252,78.1198,dict
NORTH EAST DELHI,Delhi,28.718,77.26,dict
DHAURAHRA,Uttar Pradesh,27.7165,80.968,dict
SIDHI,Madhya Pradesh,24.4159,81.8782,dict
RAJAMPET,Andhra Pradesh,14.1873,79.1619,dict
BHILWARA,Rajasthan,25.3521,74.6313,dict
CHALAKUDY,Kerala,10.2979,76.3358,dict
AMRITSAR,Punjab,31.634,74.8723,dict
MOHANLALGANJ(SC),Uttar Pradesh,26.6844,81.1847,dict
HATHRAS (SC),Uttar Pradesh,27.5986,78.061,dict
UDHAMPUR,Jammu And Kashmir,32.916,75.1418,dict
JORHAT,Assam,26.7465,94.2026,dict
LALGANJ (SC),Uttar Pradesh,25.9,82.57,dict
BALLIA,Uttar Pradesh,25.7527,84.1468,dict
BIDAR,Karnataka,17.9104,77.5199,dict
BHONGIR,Telangana,17.5087,78.8833,dict
SATARA,Maharashtra,17.6805,73.9842,dict
KARUR,Tamil Nadu,10.9601,78.0766,dict
CHENNAI SOUTH,Tamil Nadu,12.99,80.22,dict
BHIWANI MAHENDRAGARH,Haryana,28.3934,76.1319,dict
DHARAMAPURI,Tamil Nadu,,,failed
ETAWAH(SC),Uttar Pradesh,26.7735,79.0237,dict
MANDLA(ST),Madhya Pradesh,22.5985,80.3759,dict
TEHRI GARHWAL,Uttarakhand,30.378,78.48,dict
FARRUKHABAD,Uttar Pradesh,27.3921,79.5791,dict
GHAZIABAD,Uttar Pradesh,28.6692,77.4538,dict
UDUPI CHIKMAGALUR,Karnataka,13.3409,75.1014,dict
BAHARAMPUR,West Bengal,24.104493,88.251064,nominatim
CHIKKODI,Karnataka,16.423,74.5915,dict
RANAGHAT(SC),West Bengal,23.1769,88.554,dict
THOOTHUKKUDI,Tamil Nadu,8.756745,78.079753,nominatim
BARDHAMAN-DURGAPUR,West Bengal,23.567581,87.317857,nominatim
CHELVELLA,Telangana,,,failed
KHAGARIA,Bihar,25.5021,86.4706,dict
BASTI,Uttar Pradesh,26.8001,82.7263,dict
BARDHAMAN PURBA(SC),West Bengal,23.418888,87.854016,nominatim
JUNAGADH,Gujarat,21.5222,70.4579,dict
RAIGARH(ST),Chhattisgarh,21.8974,83.395,dict
HOWRAH,West Bengal,22.5958,88.2636,dict
DUM DUM,West Bengal,22.62,88.38,dict
KURUKSHETRA,Haryana,29.9695,76.8783,dict
KANGRA,Himachal Pradesh,32.0998,76.2691,dict
KANTHI,West Bengal,21.887,87.588,dict
AMRELI,Gujarat,21.6029,71.2228,dict
REWA,Madhya Pradesh,24.5362,81.299,dict
JAMNAGAR,Gujarat,22.4707,70.0577,dict
POLLACHI,Tamil Nadu,10.6597,77.0074,dict
INDORE,Madhya Pradesh,22.7196,75.8577,dict
SRIPERUMBUDUR,Tamil Nadu,12.9616,79.9454,dict
KOLKATA UTTAR,West Bengal,26.254624,88.182065,nominatim
UTTARA KANNADA,Karnataka,14.98,74.57,dict
CHHINDWARA,Madhya Pradesh,22.0574,78.9382,dict
CUDDALORE,Tamil Nadu,11.748,79.7714,dict
ARAKU(ST),Andhra Pradesh,18.3298,82.875,dict
DHAR(ST),Madhya Pradesh,22.6,75.3,dict
BILASPUR,Chhattisgarh,22.0797,82.1409,dict
HOSHANGABAD,Madhya Pradesh,22.7535,77.734,dict
CHENNAI NORTH,Tamil Nadu,13.12,80.28,dict
BAREILLY,Uttar Pradesh,28.367,79.4304,dict
KATIHAR,Bihar,25.5393,87.5746,dict
TIKAMGARH(SC),Madhya Pradesh,24.7441,78.8318,dict
ASANSOL,West Bengal,23.683,86.962,dict
NEW DELHI,Delhi,28.6139,77.209,dict
HINDUPUR,Andhra Pradesh,13.8282,77.4908,dict
MAHABUBABAD,Telangana,17.6,80.0,dict
GHOSI,Uttar Pradesh,26.1,83.67,dict
WARANGEL(SC),Telangana,,,failed
KORAPUT(ST),Odisha,18.813,82.712,dict
JHALAWAR-BARAN,Rajasthan,,,failed
GONDA,Uttar Pradesh,27.13,81.96,dict
HISAR,Haryana,29.1492,75.7217,dict
DEWAS(SC),Madhya Pradesh,22.9623,76.051,dict
PRATAPGARH,Uttar Pradesh,25.901,81.996,dict
CHANDAULI,Uttar Pradesh,25.2717,83.2709,dict
BADAUN,Uttar Pradesh,28.0352,79.122,dict
BAHRAICH(SC),Uttar Pradesh,27.5752,81.5954,nominatim
LUCKNOW,Uttar Pradesh,26.8467,80.9462,dict
CHITRADURGA(SC),Karnataka,14.2296,76.398,dict
MAHARAJGANJ_UP,Uttar Pradesh,26.471085,81.180705,nominatim
KOPPAL,Karnataka,15.35,76.154,dict
DARBHANGA,Bihar,26.1542,85.8918,dict
TIRUCHIRAPPALLI,Tamil Nadu,10.7905,78.7047,dict
UJJARPUR,Bihar,,,failed
JANGIPUR,West Bengal,24.4693,88.0734,dict
ETAH,Uttar Pradesh,27.5562,78.6638,dict
GHATAL,West Bengal,22.6589,87.716,dict
JADAVPUR,West Bengal,22.497,88.372,dict
OUTER MANIPUR(ST),Manipur,25.0,94.2,dict
JALORE,Rajasthan,25.3462,72.614,dict
VALMIKI NAGAR,Bihar,27.086,84.298,dict
KANNAUJ,Uttar Pradesh,27.0562,79.9204,dict
BHARUCH,Gujarat,21.708043,72.995694,nominatim
CHANDIGARH,Chandigarh,30.733442,76.779714,nominatim
BAGALKOT,Karnataka,16.18,75.696,dict
BARABANKI(SC),Uttar Pradesh,26.92741,81.194838,nominatim
MAHESANA,Gujarat,23.601556,72.386798,nominatim
BHAVNAGAR,Gujarat,21.7645,72.1519,dict
SURAT,Gujarat,21.1702,72.8311,dict
SOUTH GOA,Goa,15.2993,74.124,dict
KHAJURAHO,Madhya Pradesh,24.8502,79.9335,dict
MEDINIPUR,West Bengal,22.4225,87.3188,dict
CHIKBALLAPUR,Karnataka,13.427422,77.732307,nominatim
KOLAR(SC),Karnataka,13.136,78.1294,dict
TRIPURA EAST(ST),Tripura,23.4,92.15,dict
BHUBANESWAR,Odisha,20.2961,85.8245,dict
LUDHIANA,Punjab,30.901,75.8573,dict
KOTTAYAM,Kerala,9.5916,76.5222,dict
MUZAFFARPUR,Bihar,26.1209,85.3647,dict
SHILLONG,Meghalaya,25.5788,91.8933,dict
BEED,Maharashtra,18.991844,75.909784,nominatim
ANANTAPUR,Andhra Pradesh,14.6819,77.6006,dict
NANDYAL,Andhra Pradesh,15.4786,78.4837,dict
KEONJHAR(ST),Odisha,21.6288,85.5818,dict
AKBARPUR,Uttar Pradesh,26.428,82.533,dict
SOUTH DELHI,Delhi,28.48,77.18,dict
BARAMATI,Maharashtra,18.1517,74.577,dict
BANGALORE NORTH,Karnataka,13.0358,77.597,dict
JABALPUR,Madhya Pradesh,23.1815,79.9864,dict
DAKSHINA KANNADA,Karnataka,12.8438,75.2479,dict
KARAKAT,Bihar,25.0165,84.2696,dict
WEST DELHI,Delhi,28.65,77.07,dict
DINDORI(ST),Maharashtra,20.2046,73.746,dict
BARPETA,Assam,26.3219,91.0041,dict
MATHURA,Uttar Pradesh,27.4925,77.6737,dict
SHIMOGA,Karnataka,13.9299,75.5681,dict
HATKANANGLE,Maharashtra,16.8155,74.28,dict
MYSORE,Karnataka,12.2958,76.6394,dict
CHANDRAPUR,Maharashtra,19.9615,79.2961,dict
NALGONDA,Telangana,17.058,79.2671,dict
SURENDRANAGAR,Gujarat,22.7279,71.648,dict
MALDAHA DAKSHIN,West Bengal,24.88,88.14,dict
AMETHI,Uttar Pradesh,26.151,81.718,dict
KENDRAPARA,Odisha,20.505,86.42,dict
MAINPURI,Uttar Pradesh,27.2357,79.0173,dict
BAGHPAT,Uttar Pradesh,28.944,77.216,dict
JAMUI(SC),Bihar,24.9252,86.2237,dict
PALAKKAD,Kerala,10.7867,76.6548,dict
MUMBAI NORTH-CENTRAL,Maharashtra,,,failed
JAMMU,Jammu And Kashmir,32.7266,74.857,dict
RATLAM(ST),Madhya Pradesh,23.3315,75.0367,dict
THENI,Tamil Nadu,10.0104,77.477,dict
AHMEDABAD WEST(SC),Gujarat,23.01,72.55,dict
AZAMGARH,Uttar Pradesh,26.068,83.1836,dict
SANT KABIR NAGAR,Uttar Pradesh,26.79,83.06,dict
MADHA,Maharashtra,17.9082,75.5253,dict
Sonitpur,Assam,26.6338,92.7927,dict
GUNTUR,Andhra Pradesh,16.3067,80.4365,dict
AURANGABAD_MH,Maharashtra,19.86816,75.336248,nominatim
GURDASPUR,Punjab,32.0404,75.4067,dict
INNER MANIPUR,Manipur,24.6637,93.9063,dict
GORAKHPUR,Uttar Pradesh,26.7606,83.3732,dict
SRIKAKULAM,Andhra Pradesh,18.2949,83.8938,dict
KHAMMAM,Telangana,17.2473,80.1514,dict
GODDA,Jharkhand,24.8288,87.2131,dict
GADCHIROLI-CHIMUR(ST),Maharashtra,,,failed
THIRUVANANTHAPURAM,Kerala,8.5241,76.9366,dict
BHAGALPUR,Bihar,25.2425,86.9842,dict
ONGOLE,Andhra Pradesh,15.5057,80.0499,dict
TRIPURA WEST,Tripura,23.7308,91.7898,dict
BARMER,Rajasthan,25.7521,71.3967,dict
TUMKUR,Karnataka,13.3409,77.101,dict
ASKA,Odisha,19.6162,84.658,dict
MORADABAD,Uttar Pradesh,28.8386,78.7733,dict
BANSGAON(SC),Uttar Pradesh,26.5498,83.359,dict
JAUNPUR,Uttar Pradesh,25.7464,82.6834,dict
WARDHA,Maharashtra,20.7453,78.5986,dict
FATEHGARH SAHIB(SC),Punjab,30.6482,76.3897,dict
YAVATMAL-WASHIM,Maharashtra,,,failed
MALDAHA UTTAR,West Bengal,25.0,88.14,dict
BIJAPUR(SC),Karnataka,16.8302,75.71,dict
ANANTNAG,Jammu And Kashmir,33.7311,75.1487,dict
FATEHPUR,Uttar Pradesh,25.9305,80.8122,dict
VALSAD(ST),Gujarat,20.5992,72.9342,dict
AHMEDNAGAR,Maharashtra,19.0952,74.7496,dict
NELLORE(SC),Andhra Pradesh,14.4426,79.9865,dict
HAMIRPUR_HP,Himachal Pradesh,31.709677,76.527359,nominatim
ALIGARH,Uttar Pradesh,27.8974,78.088,dict
HASSAN,Karnataka,13.0069,76.1004,dict
MAYILADUTHURAI,Tamil Nadu,11.1028,79.655,dict
GAYA (SC),Bihar,24.7914,85.0002,dict
JALNA,Maharashtra,19.8347,75.8816,dict
MAHABUBNAGAR,Telangana,16.696569,77.959115,nominatim
KHERI,Uttar Pradesh,27.9,80.77,dict
CUTTACK,Odisha,20.4625,85.8828,dict
NABARANGPUR(ST),Odisha,19.231,82.5461,dict
HINGOLI,Maharashtra,19.7213,77.1489,dict
BALAGHAT,Madhya Pradesh,21.8134,80.184,dict
DAVANAGERE,Karnataka,14.4644,75.9218,dict
VIZIANAGARAM,Andhra Pradesh,18.1067,83.3956,dict
SIRSA(SC),Haryana,29.5335,75.029,dict
THRISSUR,Kerala,10.5276,76.2144,dict
KOLHAPUR,Maharashtra,16.705,74.2433,dict
CHIDAMBARAM(SC),Tamil Nadu,11.3993,79.6906,dict
MISRIKH(SC),Uttar Pradesh,27.38,80.27,dict
DIBRUGARH,Assam,27.4728,94.912,dict
NAINITAL UDHAM SINGH NAG.,Uttarakhand,,,failed
BANASKANTHA,Gujarat,24.17,72.43,dict
MAHARAJGANJ_BR,Bihar,26.111809,84.5117,nominatim
PANCHMAHAL,Gujarat,22.69781,73.598068,nominatim
ALMORA(SC),Uttarakhand,29.5971,79.6551,dict
HAVERI,Karnataka,14.794,75.3996,dict
KRISHNAGIRI,Tamil Nadu,12.5186,78.2137,dict
JAJPUR(SC),Odisha,20.8505,86.3373,dict
KALLAKURICHI,Tamil Nadu,11.7381,78.9627,dict
JAIPUR RURAL,Rajasthan,26.82,75.6,dict
SANGLI,Maharashtra,16.8524,74.5815,dict
KARNAL,Haryana,29.6857,76.9905,dict
SHIRDI(SC),Maharashtra,19.765,74.476,dict
ATTINGAL,Kerala,8.6886,76.8152,dict
BHOPAL,Madhya Pradesh,23.2599,77.4126,dict
ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,11.664438,92.740158,nominatim
TIRUNELVELI,Tamil Nadu,8.7139,77.7567,dict
ALIPURDUARS(ST),West Bengal,26.485,89.67,dict
PORBANDAR,Gujarat,21.6426,69.609,dict
KANKER(ST),Chhattisgarh,20.2726,81.4932,dict
ARRAH,Bihar,25.5611,84.6641,dict
LOHARDAGA(ST),Jharkhand,23.4343,84.684,dict
SRINAGAR,Jammu And Kashmir,34.0837,74.7973,dict
RAMANATHAPURAM,Tamil Nadu,9.3762,78.8308,dict
DAUSA(ST),Rajasthan,26.8937,76.3339,dict
PALAMU(SC),Jharkhand,24.0291,84.071,dict
NAGAPATTINAM(SC),Tamil Nadu,10.7672,79.842,dict
BULANDSHAHR(SC),Uttar Pradesh,28.406,77.849,dict
RAICHUR(ST),Karnataka,16.212,77.3566,dict
GWALIOR,Madhya Pradesh,26.2183,78.1828,dict
BHADRAK(SC),Odisha,21.054,86.5,dict
RAJSAMAND,Rajasthan,25.07,73.88,dict
KODARMA,Jharkhand,24.54238,85.69301,nominatim
KANDHAMAL,Odisha,20.087,84.2297,dict
RAJAHMUNDRY,Andhra Pradesh,17.0005,81.804,dict
VADAKARA,Kerala,11.593818,75.587271,nominatim
SAHARANPUR,Uttar Pradesh,29.968,77.551,dict
WAYANAD,Kerala,11.6854,76.132,dict
Darrang-Udalguri,Assam,,,failed
PHULPUR,Uttar Pradesh,25.5438,81.9897,dict
NALANDA,Bihar,25.1016,85.4462,dict
KOZHIKODE,Kerala,11.2588,75.7804,dict
BALASORE,Odisha,21.4942,86.9335,dict
BANGAON(SC),West Bengal,23.05,88.83,dict
KARIMNAGAR,Telangana,18.4386,79.1288,dict
MALAPPURAM,Kerala,11.051,76.0711,dict
JAGATSINGHPUR(SC),Odisha,20.2517,86.1698,dict
RAIGAD,Maharashtra,18.5151,73.182,dict
CHAMARAJANAGAR(SC),Karnataka,11.9242,76.943,dict
MAYURBHANJ (ST),Odisha,21.9457,86.7339,dict
KOKRAJHAR (ST),Assam,26.4,90.2683,dict
KAKINADA,Andhra Pradesh,16.9891,82.2475,dict
CHANDINI CHOWK,Delhi,,,failed
PURI,Odisha,19.8135,85.8312,dict
PEDDAPALLE,Telangana,18.6156,79.3802,dict
BELLARY(ST),Karnataka,15.1394,76.9214,dict
JALANDHAR(SC),Punjab,31.326,75.5762,dict
GANDHINAGAR,Gujarat,23.2156,72.6369,dict
COIMBATORE,Tamil Nadu,11.0168,76.9558,dict
CHHOTA UDAIPUR(ST),Gujarat,22.309,74.0085,dict
MIRZAPUR,Uttar Pradesh,25.1416,82.5786,dict
SITAMARHI,Bihar,26.5921,85.4893,dict
PONNANI,Kerala,10.7695,75.9249,dict
BHIWANDI,Maharashtra,19.2967,73.0631,dict
PUNE,Maharashtra,18.5204,73.8567,dict
BHANDARA-GONDIYA,Maharashtra,21.464832,80.159913,nominatim
RATNAGIRI-SINDHUDURG,Maharashtra,,,failed
BAPATLA,Andhra Pradesh,15.9068,80.4682,dict
VARANASI,Uttar Pradesh,25.3176,82.9739,dict
FARIDABAD,Haryana,28.4089,77.3178,dict
VIDISHA,Madhya Pradesh,23.5246,77.8195,dict
BEGUSARAI,Bihar,25.512541,86.088339,nominatim
CHURU,Rajasthan,28.297,74.9667,dict
NASHIK,Maharashtra,19.9975,73.7898,dict
BARAMULLAH,Jammu And Kashmir,,,failed
ADILABAD(ST),Telangana,19.664,78.532,dict
SHEOHAR,Bihar,26.5183,85.2962,dict
MADHEPURA,Bihar,25.9184,86.7879,dict
KAIRANA,Uttar Pradesh,29.3974,77.2021,dict
SAMBALPUR,Odisha,21.557061,84.152851,nominatim
PURULIA,West Bengal,23.3335,86.3643,dict
BELGAUM,Karnataka,15.857267,74.506934,nominatim
NAGARKURNOOL(SC),Telangana,16.4815,78.3218,dict
JALPAIGURI(SC),West Bengal,26.5447,88.7179,dict
SINGHBHUM(ST),Jharkhand,22.6568,85.9341,dict
ALLAHABAD,Uttar Pradesh,25.4358,81.8463,dict
PILIBHIT,Uttar Pradesh,28.6312,79.8036,dict
SATNA,Madhya Pradesh,24.6005,80.8322,dict
GARHWAL,Uttarakhand,30.1357,78.7757,dict
