locality,constituency,state,lat,lng,status
Ayasha,PARBHANI,Maharashtra,19.284884,76.583009,locality_curated
Adabari Gram,COOCHBEHAR(SC),West Bengal,26.363843,89.470218,locality_curated
I Gram,COOCHBEHAR(SC),West Bengal,26.353014,89.490195,locality_curated
Natabari Gram,COOCHBEHAR(SC),West Bengal,26.344587,89.464709,locality_curated
Panishala Gram,COOCHBEHAR(SC),West Bengal,26.351055,89.466841,locality_curated
Gopalpur Gram,COOCHBEHAR(SC),West Bengal,26.344422,89.515739,locality_curated
Baneswar Gram,COOCHBEHAR(SC),West Bengal,26.35156,89.468129,locality_curated
Khagrabari Gram,COOCHBEHAR(SC),West Bengal,26.363799,89.475719,locality_curated
Khapaidanga Gram,COOCHBEHAR(SC),West Bengal,26.362821,89.482948,locality_curated
Dewanhat Gram,COOCHBEHAR(SC),West Bengal,26.371677,89.486704,locality_curated
Patlakhawa Gram,COOCHBEHAR(SC),West Bengal,26.359972,89.500656,locality_curated
Chandamari Gram,COOCHBEHAR(SC),West Bengal,26.341154,89.498195,locality_curated
Suktabari Gram,COOCHBEHAR(SC),West Bengal,26.351637,89.493943,locality_curated
Ghughumari Gram,COOCHBEHAR(SC),West Bengal,26.31793,89.495252,locality_curated
Chhara Nayarhat,COOCHBEHAR(SC),West Bengal,26.349891,89.45118,locality_curated
Sukarur kuthi,COOCHBEHAR(SC),West Bengal,26.364942,89.501665,locality_curated
Sahebganj Gram,COOCHBEHAR(SC),West Bengal,26.327779,89.48916,locality_curated
Gosanimari Gram,COOCHBEHAR(SC),West Bengal,26.341689,89.503904,locality_curated
Lalbazar Gram,COOCHBEHAR(SC),West Bengal,26.341999,89.503178,locality_curated
Sitalkuchi Gram,COOCHBEHAR(SC),West Bengal,26.347009,89.452636,locality_curated
Jorepatki Gram,COOCHBEHAR(SC),West Bengal,26.367029,89.491362,locality_curated
Shikarpur Gram,COOCHBEHAR(SC),West Bengal,26.320745,89.474009,locality_curated
Ghokshadanga Gram,COOCHBEHAR(SC),West Bengal,26.322026,89.466686,locality_curated
Fulbari Gram,COOCHBEHAR(SC),West Bengal,26.349898,89.452782,locality_curated
Chowdhurihat Gram,COOCHBEHAR(SC),West Bengal,26.353834,89.452285,locality_curated
II Gram,COOCHBEHAR(SC),West Bengal,26.368636,89.485609,locality_curated
Goshairhat Gram,COOCHBEHAR(SC),West Bengal,26.345203,89.448947,locality_curated
School,FIROZPUR,Punjab,30.911331,74.616733,locality_curated
BETIYA,KUSHI NAGAR,Uttar Pradesh,,,locality_curated
Ref,DARJEELING,West Bengal,27.050127,88.250308,locality_curated
Nim,DARJEELING,West Bengal,27.055655,88.260769,locality_curated
Lungrep,DARJEELING,West Bengal,27.051309,88.289166,locality_curated
Amudala,CHITTOOR,Andhra Pradesh,13.218369,79.116971,locality_curated
Panthabari,DARJEELING,West Bengal,27.043149,88.230511,locality_curated
Kothuru,CHITTOOR,Andhra Pradesh,13.239321,79.105046,locality_curated
Chinnamittapalli,CHITTOOR,Andhra Pradesh,13.205847,79.107666,locality_curated
Arimakulapalli,CHITTOOR,Andhra Pradesh,13.228133,79.117772,locality_curated
Molakamadugu,CHITTOOR,Andhra Pradesh,13.245172,79.091561,locality_curated
Kondrajukalava,CHITTOOR,Andhra Pradesh,13.230073,79.092165,locality_curated
Reshep,DARJEELING,West Bengal,27.018477,88.242328,locality_curated
Pandi,DARJEELING,West Bengal,27.059874,88.2627,locality_curated
Pandu,DARJEELING,West Bengal,27.040778,88.228835,locality_curated
Chimney Deorali,DARJEELING,West Bengal,27.010318,88.242511,locality_curated
Lamahatta,DARJEELING,West Bengal,27.013307,88.276822,locality_curated
Member Lamahatta,DARJEELING,West Bengal,27.053695,88.271545,locality_curated
III,DARJEELING,West Bengal,27.009204,88.268548,locality_curated
Valayapatti,VIRUDHUNAGAR,Tamil Nadu,9.589196,77.981883,locality_curated
Kumai,DARJEELING,West Bengal,27.01311,88.258169,locality_curated
Gopaldhara,DARJEELING,West Bengal,27.019476,88.290203,locality_curated
Ravidas,ROHTAK,Haryana,28.90931,76.597493,locality_curated
JARAHI,AMBEDKAR NAGAR,Uttar Pradesh,26.428275,82.582306,locality_curated
HARDI,AMBEDKAR NAGAR,Uttar Pradesh,26.452741,82.592275,locality_curated
MUKUNDPUR,AMBEDKAR NAGAR,Uttar Pradesh,26.427996,82.609005,locality_curated
Diguvamangunta,CHITTOOR,Andhra Pradesh,13.237953,79.112108,locality_curated
Mangunta,CHITTOOR,Andhra Pradesh,13.218431,79.07568,locality_curated
Bailu,CHITTOOR,Andhra Pradesh,13.204325,79.126915,locality_curated
Kannikapuram,CHITTOOR,Andhra Pradesh,13.24096,79.088419,locality_curated
Puram,CHITTOOR,Andhra Pradesh,13.243406,79.097445,locality_curated
Padhmapuram,CHITTOOR,Andhra Pradesh,13.223969,79.129917,locality_curated
Thellagundlapalli,CHITTOOR,Andhra Pradesh,13.231969,79.082951,locality_curated
Penumuru,CHITTOOR,Andhra Pradesh,13.230949,79.122402,locality_curated
Bramhanathangal,TIRUPATI(SC),Andhra Pradesh,13.623857,79.438183,locality_curated
GAGLANI,AMRAVATI(SC),Maharashtra,20.94773,77.780328,locality_curated
RAMABAI AMBEDKAR,AMRAVATI(SC),Maharashtra,20.944608,77.733021,locality_curated
badki bergi,GIRIDIH,Jharkhand,24.206331,86.316347,locality_curated
sasarkho,GIRIDIH,Jharkhand,24.207937,86.314626,locality_curated
nagabad,GIRIDIH,Jharkhand,24.179844,86.282278,locality_curated
berha suiyadih,GIRIDIH,Jharkhand,24.178213,86.283255,locality_curated
khudisar,GIRIDIH,Jharkhand,24.191003,86.319327,locality_curated
bazaar south,GIRIDIH,Jharkhand,24.1853,86.32366,locality_curated
chegro,GIRIDIH,Jharkhand,24.20979,86.303663,locality_curated
dhawatand,GIRIDIH,Jharkhand,24.16962,86.295072,locality_curated
telkhara,GIRIDIH,Jharkhand,24.196699,86.292948,locality_curated
chainpur,GIRIDIH,Jharkhand,24.190612,86.334556,locality_curated
bajrangbali,GIRIDIH,Jharkhand,24.1994,86.290186,locality_curated
bajrang bali,GIRIDIH,Jharkhand,24.160116,86.316892,locality_curated
chegro shiv,GIRIDIH,Jharkhand,24.184907,86.329286,locality_curated
fatehpur bajrangbali,GIRIDIH,Jharkhand,24.179738,86.290237,locality_curated
shiv,GIRIDIH,Jharkhand,24.198965,86.335312,locality_curated
jitkundi,GIRIDIH,Jharkhand,24.202208,86.289047,locality_curated
mansa,GIRIDIH,Jharkhand,24.19844,86.30846,locality_curated
asurbandh,GIRIDIH,Jharkhand,24.201643,86.285387,locality_curated
kulgo north,GIRIDIH,Jharkhand,24.164295,86.289647,locality_curated
kulgo dakshini,GIRIDIH,Jharkhand,24.155313,86.309806,locality_curated
durga,GIRIDIH,Jharkhand,24.161832,86.322613,locality_curated
bikhnidih,GIRIDIH,Jharkhand,24.208702,86.31882,locality_curated
balthariya,GIRIDIH,Jharkhand,24.193878,86.317543,locality_curated
madhwadih,GIRIDIH,Jharkhand,24.214561,86.30572,locality_curated
bishu,GIRIDIH,Jharkhand,24.206758,86.293127,locality_curated
isri north,GIRIDIH,Jharkhand,24.173644,86.294972,locality_curated
karmatungri,GIRIDIH,Jharkhand,24.200667,86.314722,locality_curated
shankardih,GIRIDIH,Jharkhand,24.183304,86.283778,locality_curated
hari,GIRIDIH,Jharkhand,24.199205,86.295075,locality_curated
hanuman,GIRIDIH,Jharkhand,24.168037,86.278553,locality_curated
sitaram,GIRIDIH,Jharkhand,24.163931,86.322252,locality_curated
Koothiyarkundu,VIRUDHUNAGAR,Tamil Nadu,9.567034,77.962273,locality_curated
Anaiyur,VIRUDHUNAGAR,Tamil Nadu,9.55743,77.964092,locality_curated
Vadapatti,VIRUDHUNAGAR,Tamil Nadu,9.573531,77.98543,locality_curated
Lakya,BANGALORE SOUTH,Karnataka,12.907164,77.59497,locality_curated
Maa Manasha,GUWAHATI,Assam,26.149595,91.753667,locality_curated
Token,KHUNTI(ST),Jharkhand,23.076971,85.261975,locality_curated
Lova,KHUNTI(ST),Jharkhand,23.048409,85.269451,locality_curated
Gumpila,KHUNTI(ST),Jharkhand,23.089575,85.266881,locality_curated
Kachchabari,KHUNTI(ST),Jharkhand,23.058955,85.26783,locality_curated
Dehkela,KHUNTI(ST),Jharkhand,23.093114,85.2733,locality_curated
Krishna,GUWAHATI,Assam,26.166883,91.7415,locality_curated
Sirka,KHUNTI(ST),Jharkhand,23.063412,85.309092,locality_curated
Kudahatu,KHUNTI(ST),Jharkhand,23.055053,85.274405,locality_curated
Umbulbaha of Birbanki,KHUNTI(ST),Jharkhand,23.067946,85.257442,locality_curated
Madhopur west,JHANJHARPUR,Bihar,26.272265,86.304517,locality_curated
JAGDISHPUR,AMBEDKAR NAGAR,Uttar Pradesh,26.444013,82.594241,locality_curated
GARAM,AMBEDKAR NAGAR,Uttar Pradesh,26.450602,82.628171,locality_curated
SARKHUPUR,AMBEDKAR NAGAR,Uttar Pradesh,26.436215,82.624012,locality_curated
KHALISPUR,AMBEDKAR NAGAR,Uttar Pradesh,26.459303,82.590962,locality_curated
MACHLI,AMBEDKAR NAGAR,Uttar Pradesh,26.419083,82.590476,locality_curated
Ekvira English,AMRAVATI(SC),Maharashtra,20.94846,77.760146,locality_curated
Najma Patel Urdu,AMRAVATI(SC),Maharashtra,20.923382,77.740906,locality_curated
Tilmi,KHUNTI(ST),Jharkhand,23.067075,85.245597,locality_curated
Barbanda,KHUNTI(ST),Jharkhand,23.047762,85.271619,locality_curated
Simbukel,KHUNTI(ST),Jharkhand,23.04115,85.286866,locality_curated
Janjati,KHARGONE(ST),Madhya Pradesh,21.795181,75.615426,locality_curated
Ahir,KHARGONE(ST),Madhya Pradesh,21.825161,75.595252,locality_curated
Vankaner,BARDOLI(ST),Gujarat,21.071915,73.168471,nominatim
Tadkeshwar,BARDOLI(ST),Gujarat,21.128723,73.084428,locality_curated
Naren,BARDOLI(ST),Gujarat,21.107934,73.131888,locality_curated
Choryasi,BARDOLI(ST),Gujarat,21.134289,73.118768,locality_curated
Navipardi Gram,BARDOLI(ST),Gujarat,21.116401,73.133073,locality_curated
Sevni Gram,BARDOLI(ST),Gujarat,21.091783,73.102515,locality_curated
Vav,BARDOLI(ST),Gujarat,21.112875,73.088005,locality_curated
karajn,BARDOLI(ST),Gujarat,21.141673,73.091899,locality_curated
Navi pardi,BARDOLI(ST),Gujarat,21.121,73.141018,locality_curated
Vihan,BARDOLI(ST),Gujarat,21.102403,73.110142,locality_curated
Jhankhvav,BARDOLI(ST),Gujarat,21.126596,73.135689,locality_curated
Mandvi,BARDOLI(ST),Gujarat,21.111085,73.132474,locality_curated
Mandvi Nagar Nava,BARDOLI(ST),Gujarat,21.131208,73.139081,locality_curated
Kelkui,BARDOLI(ST),Gujarat,21.130976,73.14116,locality_curated
Tarsadabar,BARDOLI(ST),Gujarat,21.130886,73.101529,locality_curated
Eramalur,ARANI,Tamil Nadu,12.682883,79.264766,locality_curated
Katteri,ARANI,Tamil Nadu,12.689003,79.304686,locality_curated
Kothandaram,ARANI,Tamil Nadu,12.68438,79.275913,locality_curated
ADC Arasur,ARANI,Tamil Nadu,12.670933,79.308032,locality_curated
Katteri,TIRUVANNAMALAI,Tamil Nadu,12.227353,79.054715,locality_curated
Raghunath,DIAMOND HARBOUR,West Bengal,22.194246,88.205993,locality_curated
Daminedu,CHITTOOR,Andhra Pradesh,13.229176,79.112102,locality_curated
Senar,Diphu (ST),Assam,25.8163,93.443102,locality_curated
Kramsa,Diphu (ST),Assam,25.849239,93.446532,locality_curated
Alwalpur,PATNA SAHIB,Bihar,25.613946,85.161823,locality_curated
Kandap,PATNA SAHIB,Bihar,25.600725,85.166505,locality_curated
GRAM RAJABHATHA,JANJGIR CHAMPA(SC),Chhattisgarh,22.012415,82.547518,locality_curated
kalbhairv,SHIRUR,Maharashtra,18.857639,74.382914,locality_curated
Tokavade,SHIRUR,Maharashtra,18.835483,74.393189,locality_curated
Dhipri,KOTA,Rajasthan,25.198762,75.862167,locality_curated
Arasoor,ARANI,Tamil Nadu,12.6621,79.306451,locality_curated
Vinnavadi,ARANI,Tamil Nadu,12.665626,79.251745,locality_curated
Madurai Perumpattur,ARANI,Tamil Nadu,12.687851,79.28575,locality_curated
Athimalaipattu,ARANI,Tamil Nadu,12.6842,79.292642,locality_curated
Vinnamangalam,ARANI,Tamil Nadu,12.640357,79.273104,locality_curated
Puthur,ARANI,Tamil Nadu,12.699999,79.278362,locality_curated
Nagar,ARANI,Tamil Nadu,12.643942,79.285092,locality_curated
Appampattu,ARANI,Tamil Nadu,12.70068,79.283359,locality_curated
Melarangunam,ARANI,Tamil Nadu,12.647209,79.285696,locality_curated
miyan,BANDA,Uttar Pradesh,25.50169,80.316128,locality_curated
miya,BANDA,Uttar Pradesh,25.489363,80.302981,locality_curated
patwan,BANDA,Uttar Pradesh,25.495255,80.332375,locality_curated
daftara,BANDA,Uttar Pradesh,25.487357,80.310801,locality_curated
achhah,BANDA,Uttar Pradesh,25.484214,80.308036,locality_curated
samsuddinpur,BANDA,Uttar Pradesh,25.50146,80.327081,locality_curated
narayanpur,BANDA,Uttar Pradesh,25.482112,80.303257,locality_curated
banthari,BANDA,Uttar Pradesh,25.481413,80.315112,locality_curated
badauli,BANDA,Uttar Pradesh,25.49714,80.351842,locality_curated
kemedha,BANDA,Uttar Pradesh,25.46612,80.334996,locality_curated
mamasi,BANDA,Uttar Pradesh,25.478335,80.303618,locality_curated
enguva,BANDA,Uttar Pradesh,25.48619,80.3025,locality_curated
chakrehi,BANDA,Uttar Pradesh,25.474027,80.315139,locality_curated
andaura,BANDA,Uttar Pradesh,25.48683,80.34485,locality_curated
dhundhui,BANDA,Uttar Pradesh,25.465939,80.326972,locality_curated
bhadanv,BANDA,Uttar Pradesh,25.482041,80.304152,locality_curated
maraulee,BANDA,Uttar Pradesh,25.457041,80.348478,locality_curated
bakal,BANDA,Uttar Pradesh,25.459035,80.333264,locality_curated
baroulee,BANDA,Uttar Pradesh,25.497241,80.308789,locality_curated
badaganv,BANDA,Uttar Pradesh,25.468798,80.34285,locality_curated
vinvat,BANDA,Uttar Pradesh,25.453546,80.322148,locality_curated
bhadehadu,BANDA,Uttar Pradesh,25.459781,80.309833,locality_curated
chandrayal,BANDA,Uttar Pradesh,25.497814,80.339625,locality_curated
Beera,BANDA,Uttar Pradesh,25.494553,80.342595,locality_curated
marka,BANDA,Uttar Pradesh,25.495089,80.306129,locality_curated
kamasin,BANDA,Uttar Pradesh,25.453707,80.311085,locality_curated
dandau,BANDA,Uttar Pradesh,25.484599,80.350432,locality_curated
kalana,BANDA,Uttar Pradesh,25.462698,80.342447,locality_curated
audaha,BANDA,Uttar Pradesh,25.461403,80.326737,locality_curated
ragoulee,BANDA,Uttar Pradesh,25.504054,80.326728,locality_curated
hardaoulee,BANDA,Uttar Pradesh,25.463612,80.308365,locality_curated
armar,BANDA,Uttar Pradesh,25.490262,80.315962,locality_curated
pindaran,BANDA,Uttar Pradesh,25.457285,80.318797,locality_curated
kairee,BANDA,Uttar Pradesh,25.475963,80.361822,locality_curated
anvan,BANDA,Uttar Pradesh,25.477981,80.345911,locality_curated
badaulee,BANDA,Uttar Pradesh,25.457532,80.353209,locality_curated
devartha,BANDA,Uttar Pradesh,25.476871,80.308118,locality_curated
Thekkumbhagom Grama,KOLLAM,Kerala,8.897584,76.630659,locality_curated
Chavara Grama,KOLLAM,Kerala,8.915719,76.622396,locality_curated
Shaleen,MANDI,Himachal Pradesh,31.690565,76.939973,locality_curated
Sulpur,MANDI,Himachal Pradesh,31.729788,76.932557,locality_curated
Sengsap,ARUNACHAL EAST,Arunachal Pradesh,28.233181,95.943383,locality_curated
Kungsung,ARUNACHAL EAST,Arunachal Pradesh,28.194997,95.922419,locality_curated
Banghatoli,KHUNTI(ST),Jharkhand,23.086095,85.282142,locality_curated
Revenue,KHUNTI(ST),Jharkhand,23.055614,85.255817,locality_curated
Amiya,GUWAHATI,Assam,26.139721,91.763587,locality_curated
Ujjal,GUWAHATI,Assam,26.12527,91.712409,locality_curated
lakshmi,GUWAHATI,Assam,26.123222,91.711655,locality_curated
Kalaingar,ARANI,Tamil Nadu,12.663637,79.266503,locality_curated
Nanalmedu,ARANI,Tamil Nadu,12.678343,79.267525,locality_curated
Rahej,NAVSARI,Gujarat,20.952996,72.934439,locality_curated
Rayang,ARUNACHAL EAST,Arunachal Pradesh,28.195598,95.929068,locality_curated
Niglok,ARUNACHAL EAST,Arunachal Pradesh,28.228961,95.947522,locality_curated
sibut,ARUNACHAL EAST,Arunachal Pradesh,28.193259,95.914836,locality_curated
Anpum,ARUNACHAL EAST,Arunachal Pradesh,28.202396,95.950771,locality_curated
Pareng,ARUNACHAL EAST,Arunachal Pradesh,28.191666,95.9373,locality_curated
Bizari,ARUNACHAL EAST,Arunachal Pradesh,28.243506,95.916282,locality_curated
Khasa,ARUNACHAL EAST,Arunachal Pradesh,28.221354,95.954434,locality_curated
Nginu,ARUNACHAL EAST,Arunachal Pradesh,28.222072,95.946518,locality_curated
Medo,ARUNACHAL EAST,Arunachal Pradesh,28.213952,95.94642,locality_curated
GK Glat,ARUNACHAL EAST,Arunachal Pradesh,28.233942,95.912928,locality_curated
Mabira,ARUNACHAL EAST,Arunachal Pradesh,28.209527,95.947748,locality_curated
Mazar,ROBERTSGANJ(SC),Uttar Pradesh,24.680035,83.08623,locality_curated
Abhayanjaneya Swamy,NIZAMABAD,Telangana,18.656122,78.086303,locality_curated
Sree Ramalayam,NIZAMABAD,Telangana,18.698718,78.111972,locality_curated
existing,NIZAMABAD,Telangana,18.691117,78.072927,locality_curated
Pothuloori Veerabrahmendraswamy,NIZAMABAD,Telangana,18.648864,78.095745,locality_curated
Hanuman,NIZAMABAD,Telangana,18.655872,78.099366,locality_curated
Peddamma,NIZAMABAD,Telangana,18.685113,78.080686,locality_curated
sevati shivalay,GIRIDIH,Jharkhand,24.168906,86.304286,locality_curated
anaiya shiv,GIRIDIH,Jharkhand,24.167071,86.297719,locality_curated
Koralur,ARANI,Tamil Nadu,12.664015,79.264555,locality_curated
Taludali,ARANI,Tamil Nadu,12.655222,79.292722,locality_curated
Nagathur,ARANI,Tamil Nadu,12.671561,79.310213,locality_curated
Kilkaranai,ARANI,Tamil Nadu,12.661747,79.292236,locality_curated
Purangarai,ARANI,Tamil Nadu,12.672476,79.250981,locality_curated
Shiv,ROBERTSGANJ(SC),Uttar Pradesh,24.706867,83.077353,locality_curated
Kali Mata,ROBERTSGANJ(SC),Uttar Pradesh,24.709465,83.081192,locality_curated
devi,GIRIDIH,Jharkhand,24.171954,86.293169,locality_curated
lala tola shiv,GIRIDIH,Jharkhand,24.180962,86.270762,locality_curated
tirhotiya,GIRIDIH,Jharkhand,24.201667,86.299455,locality_curated
barki sidhabara,GIRIDIH,Jharkhand,24.176774,86.317948,locality_curated
karmo,GIRIDIH,Jharkhand,24.201334,86.304293,locality_curated
kodwa,GIRIDIH,Jharkhand,24.201181,86.30153,locality_curated
dhamdharwa,GIRIDIH,Jharkhand,24.204415,86.292502,locality_curated
kharna,GIRIDIH,Jharkhand,24.15724,86.312269,locality_curated
sewai,GIRIDIH,Jharkhand,24.18304,86.328172,locality_curated
kali,GIRIDIH,Jharkhand,24.202608,86.299869,locality_curated
animal,GIRIDIH,Jharkhand,24.160985,86.310754,locality_curated
madaiya,GIRIDIH,Jharkhand,24.15955,86.303614,locality_curated
madhya durga,GIRIDIH,Jharkhand,24.21502,86.30976,locality_curated
Amta II,ULUBERIA,West Bengal,22.450359,88.115392,locality_curated
sunditola hari,GIRIDIH,Jharkhand,24.15857,86.28967,locality_curated
charchariya,GIRIDIH,Jharkhand,24.214508,86.307965,locality_curated
Jirhi Devi,ROBERTSGANJ(SC),Uttar Pradesh,24.681556,83.049921,locality_curated
Barawe,ROBERTSGANJ(SC),Uttar Pradesh,24.678667,83.040456,locality_curated
Bahuar,ROBERTSGANJ(SC),Uttar Pradesh,24.670942,83.078907,locality_curated
Mahuavankala,ROBERTSGANJ(SC),Uttar Pradesh,24.718551,83.056056,locality_curated
village Baghi Durga,ROBERTSGANJ(SC),Uttar Pradesh,24.703516,83.050571,locality_curated
dania durga,GIRIDIH,Jharkhand,24.1819,86.319549,locality_curated
dania shiv,GIRIDIH,Jharkhand,24.198345,86.312204,locality_curated
dania bajrangbali,GIRIDIH,Jharkhand,24.204917,86.331155,locality_curated
dakasadam bajrang bali,GIRIDIH,Jharkhand,24.156998,86.299129,locality_curated
tilaiya shiv,GIRIDIH,Jharkhand,24.172988,86.334914,locality_curated
tilaiya bajrangbali,GIRIDIH,Jharkhand,24.191091,86.324136,locality_curated
phutkadih shiv,GIRIDIH,Jharkhand,24.172781,86.330411,locality_curated
swang south,GIRIDIH,Jharkhand,24.197246,86.334012,locality_curated
hazari bajrang bali,GIRIDIH,Jharkhand,24.176418,86.322912,locality_curated
Thumba,CHITTOOR,Andhra Pradesh,13.196813,79.087217,locality_curated
Samudrampalli,CHITTOOR,Andhra Pradesh,13.226554,79.129372,locality_curated
Yenuguntapalli,CHITTOOR,Andhra Pradesh,13.213133,79.123495,locality_curated
Srinivasa Nagar,CHITTOOR,Andhra Pradesh,13.196695,79.093361,locality_curated
Krishnapuram,CHITTOOR,Andhra Pradesh,13.226314,79.13042,locality_curated
EO NANOOR,BOLPUR(SC),West Bengal,23.644619,87.7153,locality_curated
Matiyari Gram,KRISHNANAGAR,West Bengal,23.426449,88.508811,locality_curated
abhana,DAMOH,Madhya Pradesh,23.814871,79.468421,locality_curated
bandh basti kali,GIRIDIH,Jharkhand,24.21061,86.31581,locality_curated
ram,GIRIDIH,Jharkhand,24.17265,86.291668,locality_curated
pordaag kali,GIRIDIH,Jharkhand,24.171782,86.289255,locality_curated
baniyatola sadmakala,GIRIDIH,Jharkhand,24.214337,86.316186,locality_curated
jaratola mansa,GIRIDIH,Jharkhand,24.170418,86.281301,locality_curated
chotki sadma durga,GIRIDIH,Jharkhand,24.167193,86.317003,locality_curated
chandarpura gram desi,GIRIDIH,Jharkhand,24.181142,86.283155,locality_curated
budhwatand bajrangbali,GIRIDIH,Jharkhand,24.161515,86.292991,locality_curated
bhelwatand hari,GIRIDIH,Jharkhand,24.201772,86.317719,locality_curated
kaali,GIRIDIH,Jharkhand,24.166941,86.310371,locality_curated
banjrang bali,GIRIDIH,Jharkhand,24.183172,86.319329,locality_curated
tola patki,GIRIDIH,Jharkhand,24.199221,86.315687,locality_curated
kodarma,GIRIDIH,Jharkhand,24.160706,86.296869,locality_curated
turi tola mansa,GIRIDIH,Jharkhand,24.163356,86.316332,locality_curated
shiv durga,GIRIDIH,Jharkhand,24.161836,86.283017,locality_curated
